"","LD1","LD2","1","2","3"
"ALKR1_ALKR1",-2.76919013226942,-2.65992591506724,1,0,0
"ALKR3_ALKR3",-4.85180153806013,-4.56669747356363,1,0,0
"ALKR5_ALKR5",-3.39505815459673,-4.09300814771431,1,0,0
"ALSH2_ALSH2",-2.95149683491828,-2.99950696386541,1,0,0
"ALTI3_ALTI3",-3.97281421054436,-4.50350417046903,1,0,0
"ALVL3_ALVL3",-4.59830834570757,-3.53328377826202,1,0,0
"BRB8_BRB8",-4.33351820670215,5.43111782890296,0,0,1
"BRI3_BRI3",-3.09091013696139,3.55607454967346,0,0,1
"BRI4_BRI4",-2.89806467319329,2.43215772078321,0,0,1
"BRI5_BRI5",-3.29239348194195,3.82638144979051,0,0,1
"BRR1_BRR1",-3.8933836648039,2.88250735871611,0,0,1
"BRR2_BRR2",-2.01081165532968,2.75490831389743,0,0,1
"BRR4_BRR4",-3.17059640077724,5.16069404522271,0,0,1
"BRR5_BRR5",-2.05462125893495,4.44123338988151,0,0,1
"BGL6_BGL6",-2.1128669164164,-2.67515428454094,1,0,0
"BGL7_BGL7",-3.7787773796258,-5.36800178667949,1,0,0
"BGL9_BGL9",-2.94878252690124,-2.57687398817185,1,0,0
"CAYA10_CAYA10",-2.81475928241798,4.99921750758331,0,0,1
"CAYA2_CAYA2",-1.86061860782212,5.19790617690073,0,0,1
"CAYA23_CAYA23",-2.67380751668915,3.46049531625405,0,0,1
"CAYA3_CAYA3",-2.42541704461857,2.84906867504108,0,0,1
"CAYA38_CAYA38",-1.10080483955082,2.96037459769267,0,0,1
"CAYA4_CAYA4",-0.995887435534708,2.69584096724197,0,0,1
"CAYA59_CAYA59",-3.00043469289243,4.07215814966134,0,0,1
"CAYA60_CAYA60",-2.52092504485058,5.74951414698632,0,0,1
"xmas04_xmas04",-3.08948655738456,5.29836831862269,0,0,1
"xmas05_xmas05",-3.38682361529803,4.56011509140826,0,0,1
"xmas06_xmas06",-3.26517799861631,3.22407693578483,0,0,1
"xmas07_xmas07",-2.90540209897251,5.41643484875363,0,0,1
"HRB2_HRB2",-2.21715850539188,4.05073698522914,0,0,1
"HRK1_HRK1",-4.39199440317771,-4.69597940626831,1,0,0
"HRKZ1_HRKZ1",-3.16005470419407,-4.23991169264006,1,0,0
"HRPL1_HRPL1",-1.1656003095308,-5.02756881549561,1,0,0
"HRPL2_HRPL2",-3.1510328967149,-5.63712802156743,1,0,0
"HRVG1_HRVG1",-2.35799711220772,-2.56045352224446,1,0,0
"HRVR2_HRVR2",-2.52319552676942,-5.40912609582888,1,0,0
"HRVV1_HRVV1",-4.52302611188639,-3.70144973447093,1,0,0
"HRZB1_HRZB1",-3.84883623444184,-2.30959718172324,1,0,0
"HRZM2_HRZM2",-3.41141503096179,-3.19001379494347,1,0,0
"alb_nadi18_01_alb_nadi18_01",-2.41488482946794,4.71742478203189,0,0,1
"alb_nadi18_06_alb_nadi18_06",-4.57064544394674,3.92638174526835,0,0,1
"alb_nadi18_08_alb_nadi18_08",-2.05606823012229,4.79982539762353,0,0,1
"alb_nadi18_09_alb_nadi18_09",-3.26834037914299,5.05770079929258,0,0,1
"alb_nadi18_18_alb_nadi18_18",-2.00616450652343,4.73775185102685,0,0,1
"CO2_CO2",-2.00981114806865,-2.60248863948508,1,0,0
"CO3_CO3",-2.19462342149259,-1.28256100757786,1,0,0
"CO4_CO4",-2.47269444028975,-2.29990199578209,1,0,0
"FRGR1_FRGR1",-4.05052677893291,-4.16785406225334,1,0,0
"FRGR2_FRGR2",-2.50545790441457,-4.00557762165518,1,0,0
"FRGR3_FRGR3",-3.49266251153059,-4.23852768904415,1,0,0
"FRGR7_FRGR7",-2.84286311491785,-3.92918249588657,1,0,0
"FRGR8_FRGR8",-1.86714710121221,-3.5615079314579,1,0,0
"FRGR9_FRGR9",-3.51899177494484,-2.61860580916357,1,0,0
"FRMA3_FRMA3",-4.1896449978337,-3.38587395922476,1,0,0
"FRMA9_FRMA9",-4.78795736996193,-5.13856975447391,1,0,0
"FRMB1_FRMB1",-3.18617061861927,-5.43654638525784,1,0,0
"FRSL1_FRSL1",-1.7530426974089,-4.69378628871359,1,0,0
"FRST1_FRST1",-2.6856689496686,-5.84407810426127,1,0,0
"FRST4_FRST4",-1.92714958194195,-4.46158469618603,1,0,0
"FRST5_FRST5",-2.10270587048241,-4.51902300929836,1,0,0
"FRST9_FRST9",-2.99777609415684,-5.55156490870157,1,0,0
"DEFR2_DEFR2",-4.31609780645982,-3.69732246772618,1,0,0
"DELO6_DELO6",-3.97503639562782,-3.09943034107462,1,0,0
"AT1_AT1",-3.36606168952055,3.90025918770798,0,0,1
"AT2_AT2",-3.4776191335661,4.72555366424758,0,0,1
"AT5_AT5",-1.6309528151627,0.610800585171213,0.019,0,0.981
"GRIM2_GRIM2",-2.41360812787186,-5.01364853449079,1,0,0
"GRKI2_GRKI2",-3.75030237030093,-2.67244612694426,1,0,0
"GRKO1_GRKO1",-2.57825399346141,-2.39326461195049,1,0,0
"GRKO3_GRKO3",-3.5430410582623,-4.81192045194286,1,0,0
"GRTH34_GRTH34",-3.43989094975921,-2.88391014421176,1,0,0
"ILJ10_ILJ10",-3.5010384694958,-3.1619384576459,1,0,0
"ILJ12_ILJ12",-2.64217349890039,-1.94454638927615,1,0,0
"ILJ21_ILJ21",-1.91661723447954,-1.99853957601277,1,0,0
"ILJ7_ILJ7",-2.3471812181325,-2.43972638615194,1,0,0
"ILT1_ILT1",-2.71365137689948,-3.16418506155957,1,0,0
"IAG1_IAG1",-4.48887752431644,-4.08675592449022,1,0,0
"IAG4_IAG4",-3.74755536831995,-4.14343142753072,1,0,0
