"","Albania","Brasil","Bulgaria","Cameroon","ChristmasIsland","Croatia","Fiji","France","Germany","Greece","Israel","Italy","LaReunion","Liechtenstein","Malta","Mauritius","Montenegro","Serbia","Slovenia","Spain","Switzerland","TurkeyEast","TurkeyWest","USA","Vanuatu","Indonesia","Guangzhou","Hongkong","Japan","Malaysia","Philippines","Singapore","SriLanka","Taiwan","Thailand","Vietnam"
"Albania",0,0.1202,0.0617,0.0745,0.1101,0.022,0.1118,0.0404,0.0368,0.0315,0.0589,0.0377,0.0736,0.0249,0.0573,0.0744,0.0128,0.0565,0.0495,0.0472,0.044,0.0944,0.0928,0.0668,0.1741,0.1618,0.0554,0.0525,0.1077,0.0761,0.1381,0.1164,0.1416,0.0658,0.0346,0.073
"Brasil",0.1202,0,0.1053,0.0735,0.1024,0.0834,0.104,0.1018,0.0871,0.0904,0.1006,0.0873,0.1037,0.0724,0.1,0.0975,0.1483,0.115,0.0943,0.1017,0.0995,0.1579,0.1442,0.1191,0.1744,0.1545,0.0835,0.0794,0.1451,0.0661,0.1465,0.1108,0.1078,0.0948,0.0374,0.0787
"Bulgaria",0.0617,0.1053,0,0.0507,0.0846,0.0123,0.0782,0.0144,0.037,0.0353,0.0588,0.0134,0.0624,0.1065,0.0238,0.0422,0.0761,0.0552,0.029,0.0112,0.0154,0.0921,0.0795,0.0549,0.1512,0.1357,0.0261,0.0243,0.0791,0.0395,0.112,0.1051,0.1309,0.0355,0.0972,0.0497
"Cameroon",0.0745,0.0735,0.0507,0,0.0549,0.052,0.0491,0.0586,0.0385,0.0424,0.0558,0.0547,0.059,0.0014,0.0543,0.0507,0.1034,0.0772,0.0489,0.0592,0.06,0.1138,0.101,0.0765,0.1222,0.1045,0.0397,0.031,0.1149,0.0167,0.1087,0.0459,0.0778,0.0507,-0.0558,0.0334
"ChristmasIsland",0.1101,0.1024,0.0846,0.0549,0,0.0865,0.055,0.0975,0.0663,0.0773,0.0863,0.0929,0.0971,0.0051,0.0969,0.0701,0.1338,0.1164,0.0801,0.0948,0.1003,0.1465,0.1359,0.1114,0.1303,0.1189,0.0647,0.069,0.1193,0.0398,0.1131,0.0245,0.0923,0.0758,-0.0423,0.0532
"Croatia",0.022,0.0834,0.0123,0.052,0.0865,0,0.0925,0.0133,0.0055,0.0208,0.0303,0.0107,0.0454,-0.0134,0.0191,0.0513,0.046,0.0269,0.0175,0.017,0.013,0.0662,0.0614,0.0457,0.1499,0.1396,0.0287,0.0257,0.074,0.0547,0.1095,0.084,0.1088,0.0372,-0.0166,0.0443
"Fiji",0.1118,0.104,0.0782,0.0491,0.055,0.0925,0,0.1066,0.0506,0.0836,0.0926,0.0994,0.1025,-0.0354,0.0993,0.065,0.1359,0.1126,0.0848,0.1048,0.1088,0.1509,0.138,0.1166,0.1319,0.1168,0.0708,0.0751,0.1183,0.0363,0.1041,0.0275,0.0798,0.0811,-0.1067,0.0589
"France",0.0404,0.1018,0.0144,0.0586,0.0975,0.0133,0.1066,0,0.0127,0.0273,0.0428,0.0076,0.055,0.0212,0.0202,0.0667,0.0671,0.0347,0.0198,0.0155,0.0097,0.0731,0.0699,0.0463,0.1645,0.1493,0.0381,0.0317,0.075,0.0633,0.1284,0.1048,0.1287,0.043,0.0267,0.0536
"Germany",0.0368,0.0871,0.037,0.0385,0.0663,0.0055,0.0506,0.0127,0,0.0219,0.0355,0.0041,0.0406,-0.0866,0.0192,0.013,0.0583,0.0452,0.0102,0.0092,0.0115,0.0847,0.073,0.0389,0.1343,0.1241,0.0088,0.0181,0.0263,0.026,0.0615,0.0469,0.0916,0.0353,-0.0818,0.0315
"Greece",0.0315,0.0904,0.0353,0.0424,0.0773,0.0208,0.0836,0.0273,0.0219,0,0.0414,0.0224,0.0509,-0.0071,0.0247,0.0578,0.0608,0.0424,0.028,0.031,0.0239,0.0888,0.0861,0.0544,0.1457,0.1321,0.0337,0.028,0.0886,0.0467,0.1126,0.0886,0.1084,0.0414,-0.0159,0.0433
